,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url,artist_name,title
363,0.808,0.534,9,-7.047,0,0.0722,0.00872,0.807,0.0889,0.684,100.99,audio_features,29qjVfaX1V04wzB38L1VnV,spotify:track:29qjVfaX1V04wzB38L1VnV,https://api.spotify.com/v1/tracks/29qjVfaX1V04wzB38L1VnV,https://api.spotify.com/v1/audio-analysis/29qjVfaX1V04wzB38L1VnV,462080,4,https://open.spotify.com/track/29qjVfaX1V04wzB38L1VnV,Soul Ballet,Tuscan Chica
364,0.441,0.499,6,-9.453,1,0.0484,0.665,2.87e-06,0.211,0.513,151.878,audio_features,4XCGfHpGVq8xw800o5cwWs,spotify:track:4XCGfHpGVq8xw800o5cwWs,https://api.spotify.com/v1/tracks/4XCGfHpGVq8xw800o5cwWs,https://api.spotify.com/v1/audio-analysis/4XCGfHpGVq8xw800o5cwWs,199293,4,https://open.spotify.com/track/4XCGfHpGVq8xw800o5cwWs,Claire Elzi\xc3\xa8re,Les frelons (Live)
365,0.441,0.499,6,-9.453,1,0.0484,0.665,2.87e-06,0.211,0.513,151.878,audio_features,4XCGfHpGVq8xw800o5cwWs,spotify:track:4XCGfHpGVq8xw800o5cwWs,https://api.spotify.com/v1/tracks/4XCGfHpGVq8xw800o5cwWs,https://api.spotify.com/v1/audio-analysis/4XCGfHpGVq8xw800o5cwWs,199293,4,https://open.spotify.com/track/4XCGfHpGVq8xw800o5cwWs,Minnie Riperton,Les Fleurs
366,0.562,0.657,2,-11.185,1,0.0868,0.103,0.0,0.255,0.263,126.728,audio_features,5H19HygtEjZJLdGtGdpSPR,spotify:track:5H19HygtEjZJLdGtGdpSPR,https://api.spotify.com/v1/tracks/5H19HygtEjZJLdGtGdpSPR,https://api.spotify.com/v1/audio-analysis/5H19HygtEjZJLdGtGdpSPR,200707,3,https://open.spotify.com/track/5H19HygtEjZJLdGtGdpSPR,Tesla,Gettin' Better
367,0.191,0.958,8,-4.387,0,0.134,0.000813,0.901,0.0737,0.0607,170.076,audio_features,3KBsdO1rkM9O0QASfvoA38,spotify:track:3KBsdO1rkM9O0QASfvoA38,https://api.spotify.com/v1/tracks/3KBsdO1rkM9O0QASfvoA38,https://api.spotify.com/v1/audio-analysis/3KBsdO1rkM9O0QASfvoA38,471589,4,https://open.spotify.com/track/3KBsdO1rkM9O0QASfvoA38,Mr. Kilombo,De la mano de un chulo
368,0.795,0.665,7,-12.933,1,0.0799,0.00795,0.935,0.148,0.182,127.985,audio_features,45hFcIVsMk7M6agAoEPHHw,spotify:track:45hFcIVsMk7M6agAoEPHHw,https://api.spotify.com/v1/tracks/45hFcIVsMk7M6agAoEPHHw,https://api.spotify.com/v1/audio-analysis/45hFcIVsMk7M6agAoEPHHw,548000,4,https://open.spotify.com/track/45hFcIVsMk7M6agAoEPHHw,Carlos Jimenez_ J Elvira_ Oliversam,La vida (Jp Candela & Vlada Asanin club mix)
369,0.502,0.299,4,-9.231,1,0.0272,0.908,9.94e-06,0.36,0.444,107.533,audio_features,4DzDjA3bziXY6TyXJZmx8d,spotify:track:4DzDjA3bziXY6TyXJZmx8d,https://api.spotify.com/v1/tracks/4DzDjA3bziXY6TyXJZmx8d,https://api.spotify.com/v1/audio-analysis/4DzDjA3bziXY6TyXJZmx8d,173667,4,https://open.spotify.com/track/4DzDjA3bziXY6TyXJZmx8d,Slim Whitman,China Doll
370,0.795,0.584,8,-5.758,0,0.0396,0.172,2.99e-05,0.103,0.785,127.05,audio_features,0ZpHuEhi1CvOJgrqOSy8mv,spotify:track:0ZpHuEhi1CvOJgrqOSy8mv,https://api.spotify.com/v1/tracks/0ZpHuEhi1CvOJgrqOSy8mv,https://api.spotify.com/v1/audio-analysis/0ZpHuEhi1CvOJgrqOSy8mv,146274,4,https://open.spotify.com/track/0ZpHuEhi1CvOJgrqOSy8mv,Ashton Shepherd,Sounds So Good
371,0.828,0.352,3,-11.63,0,0.189,0.0386,0.0,0.139,0.372,83.536,audio_features,4xMr5RrXvTWyx6rt7HCxVU,spotify:track:4xMr5RrXvTWyx6rt7HCxVU,https://api.spotify.com/v1/tracks/4xMr5RrXvTWyx6rt7HCxVU,https://api.spotify.com/v1/audio-analysis/4xMr5RrXvTWyx6rt7HCxVU,72427,4,https://open.spotify.com/track/4xMr5RrXvTWyx6rt7HCxVU,David Banner,Syrup Sipping (Banner Beat Break)
372,0.669,0.629,1,-6.032,0,0.0657,0.0485,0.0,0.346,0.683,125.935,audio_features,6aHoPULNO7pSL2ZfUY0bU8,spotify:track:6aHoPULNO7pSL2ZfUY0bU8,https://api.spotify.com/v1/tracks/6aHoPULNO7pSL2ZfUY0bU8,https://api.spotify.com/v1/audio-analysis/6aHoPULNO7pSL2ZfUY0bU8,139729,4,https://open.spotify.com/track/6aHoPULNO7pSL2ZfUY0bU8,Joe Lynn Turner,Knock Knock
